"Sum Acidity","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","sulphates","alcohol","quality"
0.2649351007541514,1.4633737547102945,-1.1984386539561431,0.56,1.9,0.075,17.0,60.0,0.998,0.58,9.8,6.0
0.4552674403278497,-0.6302546766972096,1.0855221170250593,0.0,1.2,0.065,15.0,21.0,0.9946,0.47,10.0,7.0
0.2915806553885008,-0.361840775234709,0.6534214306232098,0.02,2.0,0.073,9.0,18.0,0.9968,0.57,9.5,7.0
-1.1844999671433512,0.013938686812791881,-1.1984386539561431,0.56,1.8,0.092,35.0,103.0,0.9969,0.75,10.5,7.0
-1.259681970954438,-0.3081579949422086,-0.9515239760122295,0.51,1.8,0.341,17.0,56.0,0.9969,1.08,9.2,6.0
-1.3401408628892217,0.22866980798279252,-1.5688106708720142,0.48,1.8,0.077,29.0,60.0,0.9968,0.53,9.4,6.0
-1.3026804179916116,-0.8449857978672097,-0.45769462012440176,0.14,2.4,0.085,21.0,40.0,0.9968,0.63,9.7,6.0
0.6928170070473609,-0.361840775234709,1.05465778228207,0.0,2.0,0.082,8.0,16.0,0.9964,0.59,9.8,6.0
0.45658666235877443,-0.8449857978672097,1.3015724602259842,0.0,2.5,0.105,22.0,37.0,0.9966,0.57,10.6,6.0
-0.03724269352905363,-0.8449857978672097,0.8077431043381561,0.12,10.7,0.073,40.0,83.0,0.9993,0.52,9.4,6.0
0.6928170070473609,-0.361840775234709,1.05465778228207,0.0,5.5,0.086,5.0,18.0,0.9986,0.55,9.6,6.0
0.4150379943604578,-0.361840775234709,0.7768787695951668,0.14,2.4,0.086,3.0,15.0,0.9975,0.6,10.8,6.0
-0.7819443934535675,-0.20079243435720875,-0.5811519590963588,0.28,2.1,0.066,13.0,30.0,0.9968,0.73,9.7,7.0
-0.4250257108628052,-0.5228891161122092,0.09786340524940403,0.2,2.6,0.332,8.0,14.0,0.9968,0.9,10.5,6.0
